R1_PINH,153.50,22.50,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,100.21,50.80,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,105.50,35.00,0.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,52.95,16.82,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,97.74,54.30,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.49,57.95,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,160.99,40.78,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,117.50,51.00,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,157.50,22.50,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,63.00,27.50,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,64.50,16.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,54.45,31.79,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,13.45,32.10,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,15.45,31.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,17.95,32.22,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,21.55,31.98,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,47.52,104.63,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,26.87,104.24,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,92.45,53.24,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,66.57,104.43,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,65.00,34.00,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
